,year,using,whether_or_not,percentage
0,2018,배달앱,예,7.6
1,2018,배달앱,아니오,92.4
2,2018,배달대행,예,5.4
3,2018,배달대행,아니오,94.6
4,2019,배달앱,예,11.2
5,2019,배달앱,아니오,88.8
6,2019,배달대행,예,10.0
7,2019,배달대행,아니오,90.0
8,2020,배달앱,예,19.9
9,2020,배달앱,아니오,80.1
10,2020,배달대행,예,15.4
11,2020,배달대행,아니오,84.6
